,Date,Province_Id,Daily_Total,Daily_100k,N_Day_Rate,NDR_Change,NDRC_Sliding_Window
2138,2020-03-21,40,276.0,6.307629969743945,43.72014204082335,0.7439190783698174,
2139,2020-03-22,40,212.0,4.844991136180131,39.76417010018678,0.9095160318339609,
21,2020-03-22,10,105,5.283896194085055,35.788667249398976,0.6946270193824828,
679,2020-03-22,20,52.0,4.6599366427844915,39.28361973148735,0.8724316928289508,
1409,2020-03-22,30,55,4.321901510936768,36.76161760056157,0.8265808578282532,
2140,2020-03-23,40,605.0,13.82650772353292,47.810086171665276,1.2023408523604697,1.0347582838867293
1410,2020-03-23,30,108,8.486642966930381,47.73150614419369,1.2984060348711244,1.0567289879570512
22,2020-03-23,10,311,15.650397298670974,57.07427347312072,1.5947582813126189,
680,2020-03-23,20,186.0,16.668234914575297,68.8975172515159,1.753848492640098,
1411,2020-03-24,30,88,6.915042417498829,70.52866347492966,1.4776123607301912,1.0800828558234836
23,2020-03-24,10,298,14.996200627022347,80.86492745916752,1.4168367381365103,1.1182534944377365
681,2020-03-24,20,95.0,8.513345789702436,85.05637173793319,1.234534641174777,1.1089636819693536
2141,2020-03-24,40,481.0,10.992644983503034,82.22250899790329,1.7197732859689467,1.1202972221915668
2142,2020-03-25,40,482.0,11.015498715277468,84.75136474625039,1.0307562464240976,1.1279878682880913
1412,2020-03-25,30,125,9.822503433947201,78.92347088152661,1.119026889111276,1.1049494499612353
24,2020-03-25,10,263,13.234901895660663,75.49013786261197,0.9335337362508669,1.1025782383592444
682,2020-03-25,20,94.0,8.423731623495042,76.9988270686082,0.9052681826806455,1.118329496634114
25,2020-03-26,10,336,16.90846782107218,78.91109426265803,1.045316600246141,1.1334337128665763
683,2020-03-26,20,91.0,8.15488912487286,78.55263759782844,1.0201796649166583,1.108534670422797
1413,2020-03-26,30,96,7.543682637271449,75.10367525159687,0.9516012716209136,1.0824987160033734
2143,2020-03-26,40,523.0,11.952501718029286,76.04067825434868,0.8972206935194269,1.0819070616561615
26,2020-03-27,10,278,13.989744209101385,80.20791902950286,1.0164339980196995,1.0765720804910794
684,2020-03-27,20,127.0,11.380999108339047,78.35401624218125,0.997471487123525,1.0882300427524263
1414,2020-03-27,30,84,6.60072230761252,76.53100692629873,1.01900481793894,1.064868164538401
2144,2020-03-27,40,489.0,11.17547483769851,70.79801394292505,0.931054477264295,1.0620829522487163
2145,2020-03-28,40,311.0,7.107510581849155,69.75063539990136,0.9852061027606218,1.0965525271616883
1415,2020-03-28,30,88,6.915042417498829,69.12199518012872,0.9031894124520657,1.0850602349361091
27,2020-03-28,10,126,6.340675432902067,63.51016889500151,0.7918191827373128,1.0704750794408047
685,2020-03-28,20,97.0,8.692574122117225,58.212998808017346,0.7429484996415392,1.0752403801437418
28,2020-03-29,10,126,6.340675432902067,53.17267513258038,0.8372308884973737,1.090847060742932
686,2020-03-29,20,115.0,10.305629113850317,56.877581938818174,0.9770598165952026,1.0901872549674922
