,Date,Province_Id,Holiday,Vacation
0,2020-03-15,10,0,1
1,2020-03-16,10,0,1
2,2020-03-17,10,0,1
3,2020-03-18,10,0,1
4,2020-03-19,10,0,1
5,2020-03-20,10,0,1
6,2020-03-21,10,0,1
7,2020-03-22,10,0,1
8,2020-03-23,10,0,1
9,2020-03-24,10,0,1
10,2020-03-25,10,0,1
11,2020-03-26,10,0,1
12,2020-03-27,10,0,1
13,2020-03-28,10,0,1
14,2020-03-29,10,0,1
15,2020-03-30,10,0,1
16,2020-03-31,10,0,1
17,2020-04-01,10,0,1
18,2020-04-02,10,0,1
19,2020-04-03,10,0,1
20,2020-04-04,10,0,1
21,2020-04-05,10,0,1
22,2020-04-06,10,0,1
23,2020-04-07,10,0,1
24,2020-04-08,10,0,1
25,2020-04-09,10,0,1
26,2020-04-10,10,0,1
27,2020-04-11,10,1,1
28,2020-04-12,10,1,1
29,2020-04-13,10,1,1
30,2020-04-14,10,0,1
31,2020-04-15,10,0,1
32,2020-04-16,10,0,1
33,2020-04-17,10,0,1
34,2020-04-18,10,0,1
35,2020-04-19,10,0,1
36,2020-04-20,10,0,1
37,2020-04-21,10,0,1
38,2020-04-22,10,0,1
39,2020-04-23,10,0,1
40,2020-04-24,10,0,1
41,2020-04-25,10,0,1
42,2020-04-26,10,0,1
43,2020-04-27,10,0,1
44,2020-04-28,10,0,1
45,2020-04-29,10,0,1
46,2020-04-30,10,0,1
47,2020-05-01,10,1,1
48,2020-05-02,10,1,1
49,2020-05-03,10,1,1
50,2020-05-04,10,0,0
51,2020-05-05,10,0,0
52,2020-05-06,10,0,0
53,2020-05-07,10,0,0
54,2020-05-08,10,0,0
55,2020-05-09,10,0,0
56,2020-05-10,10,0,0
57,2020-05-11,10,0,0
58,2020-05-12,10,0,0
59,2020-05-13,10,0,0
60,2020-05-14,10,0,0
61,2020-05-15,10,0,0
62,2020-05-16,10,0,0
63,2020-05-17,10,0,0
64,2020-05-18,10,0,0
65,2020-05-19,10,0,0
66,2020-05-20,10,0,0
