,Date,Province_Id,Work_Commute_Allowed,Leisure_Travel_Allowed,Holiday,Vacation
78,2020-06-01,20,1,1,1,1
79,2020-06-02,20,1,1,0,0
80,2020-06-03,20,1,1,0,0
81,2020-06-04,20,1,1,0,0
82,2020-06-05,20,1,1,0,0
83,2020-06-06,20,1,1,0,0
84,2020-06-07,20,1,1,0,0
85,2020-06-08,20,1,1,0,0
86,2020-06-09,20,1,1,0,0
87,2020-06-10,20,1,1,0,0
88,2020-06-11,20,1,1,0,0
89,2020-06-12,20,1,1,0,0
90,2020-06-13,20,1,1,0,0
91,2020-06-14,20,1,1,0,0
92,2020-06-15,20,1,1,0,0
93,2020-06-16,20,1,1,0,0
94,2020-06-17,20,1,1,0,0
95,2020-06-18,20,1,1,0,0
96,2020-06-19,20,1,1,0,0
97,2020-06-20,20,1,1,0,0
98,2020-06-21,20,1,1,0,0
99,2020-06-22,20,1,1,0,0
100,2020-06-23,20,1,1,0,0
101,2020-06-24,20,1,1,0,0
102,2020-06-25,20,1,1,0,0
103,2020-06-26,20,1,1,0,0
104,2020-06-27,20,1,1,0,0
105,2020-06-28,20,1,1,0,0
106,2020-06-29,20,1,1,0,0
107,2020-06-30,20,1,1,0,0
108,2020-07-01,20,1,1,0,1
109,2020-07-02,20,1,1,0,1
110,2020-07-03,20,1,1,0,1
111,2020-07-04,20,1,1,0,1
112,2020-07-05,20,1,1,0,1
113,2020-07-06,20,1,1,0,1
114,2020-07-07,20,1,1,0,1
115,2020-07-08,20,1,1,0,1
116,2020-07-09,20,1,1,0,1
117,2020-07-10,20,1,1,0,1
118,2020-07-11,20,1,1,0,1
119,2020-07-12,20,1,1,0,1
120,2020-07-13,20,1,1,0,1
121,2020-07-14,20,1,1,0,1
122,2020-07-15,20,1,1,0,1
123,2020-07-16,20,1,1,0,1
124,2020-07-17,20,1,1,0,1
125,2020-07-18,20,1,1,0,1
126,2020-07-19,20,1,1,0,1
127,2020-07-20,20,1,1,0,1
128,2020-07-21,20,1,1,0,1
129,2020-07-22,20,1,1,0,1
130,2020-07-23,20,1,1,0,1
131,2020-07-24,20,1,1,0,1
132,2020-07-25,20,1,1,0,1
133,2020-07-26,20,1,1,0,1
134,2020-07-27,20,1,1,0,1
135,2020-07-28,20,1,1,0,1
136,2020-07-29,20,1,1,0,1
137,2020-07-30,20,1,1,0,1
138,2020-07-31,20,1,1,0,1
139,2020-08-01,20,1,1,0,1
140,2020-08-02,20,1,1,0,1
141,2020-08-03,20,1,1,0,1
142,2020-08-04,20,1,1,0,1
