,Date,Province_Id,Holiday,Vacation
212,2020-10-13,30,0,1
213,2020-10-14,30,0,1
214,2020-10-15,30,0,1
215,2020-10-16,30,0,1
216,2020-10-17,30,0,1
217,2020-10-18,30,0,1
218,2020-10-19,30,0,1
219,2020-10-20,30,0,1
220,2020-10-21,30,0,1
221,2020-10-22,30,0,1
222,2020-10-23,30,0,1
223,2020-10-24,30,0,1
224,2020-10-25,30,0,1
225,2020-10-26,30,0,0
226,2020-10-27,30,0,0
227,2020-10-28,30,0,0
228,2020-10-29,30,0,0
229,2020-10-30,30,0,0
230,2020-10-31,30,0,0
231,2020-11-01,30,1,0
232,2020-11-02,30,0,0
233,2020-11-03,30,0,0
234,2020-11-04,30,0,0
235,2020-11-05,30,0,0
236,2020-11-06,30,0,0
237,2020-11-07,30,0,0
238,2020-11-08,30,0,0
239,2020-11-09,30,0,0
240,2020-11-10,30,0,0
241,2020-11-11,30,0,0
242,2020-11-12,30,0,0
243,2020-11-13,30,0,0
244,2020-11-14,30,0,0
245,2020-11-15,30,0,0
246,2020-11-16,30,0,0
247,2020-11-17,30,0,0
248,2020-11-18,30,0,0
249,2020-11-19,30,0,0
250,2020-11-20,30,0,0
251,2020-11-21,30,0,0
252,2020-11-22,30,0,0
253,2020-11-23,30,0,0
254,2020-11-24,30,0,0
255,2020-11-25,30,0,0
256,2020-11-26,30,0,0
257,2020-11-27,30,0,0
258,2020-11-28,30,0,0
259,2020-11-29,30,0,0
260,2020-11-30,30,0,0
261,2020-12-01,30,0,0
262,2020-12-02,30,0,0
263,2020-12-03,30,0,0
264,2020-12-04,30,0,0
265,2020-12-05,30,0,0
266,2020-12-06,30,0,0
267,2020-12-07,30,0,0
268,2020-12-08,30,0,0
269,2020-12-09,30,0,0
270,2020-12-10,30,0,0
271,2020-12-11,30,0,0
272,2020-12-12,30,0,0
273,2020-12-13,30,0,0
274,2020-12-14,30,0,0
275,2020-12-15,30,0,0
276,2020-12-16,30,0,1
277,2020-12-17,30,0,1
278,2020-12-18,30,0,1
279,2020-12-19,30,0,1
280,2020-12-20,30,0,1
281,2020-12-21,30,0,1
282,2020-12-22,30,0,1
283,2020-12-23,30,0,1
284,2020-12-24,30,0,1
285,2020-12-25,30,1,1
286,2020-12-26,30,1,1
287,2020-12-27,30,1,1
288,2020-12-28,30,0,1
289,2020-12-29,30,0,1
290,2020-12-30,30,0,1
291,2020-12-31,30,0,1
292,2021-01-01,30,1,1
293,2021-01-02,30,1,1
294,2021-01-03,30,1,1
295,2021-01-04,30,0,1
296,2021-01-05,30,0,1
297,2021-01-06,30,0,1
298,2021-01-07,30,0,1
299,2021-01-08,30,0,1
300,2021-01-09,30,0,1
301,2021-01-10,30,0,1
302,2021-01-11,30,0,1
303,2021-01-12,30,0,1
304,2021-01-13,30,0,1
305,2021-01-14,30,0,1
306,2021-01-15,30,0,1
307,2021-01-16,30,0,1
308,2021-01-17,30,0,1
309,2021-01-18,30,0,1
310,2021-01-19,30,0,1
311,2021-01-20,30,0,1
312,2021-01-21,30,0,1
313,2021-01-22,30,0,1
314,2021-01-23,30,0,1
315,2021-01-24,30,0,1
316,2021-01-25,30,0,1
317,2021-01-26,30,0,1
318,2021-01-27,30,0,1
319,2021-01-28,30,0,1
320,2021-01-29,30,0,1
321,2021-01-30,30,0,1
322,2021-01-31,30,0,1
323,2021-02-01,30,0,1
324,2021-02-02,30,0,1
325,2021-02-03,30,0,1
326,2021-02-04,30,0,1
327,2021-02-05,30,0,1
328,2021-02-06,30,0,1
329,2021-02-07,30,0,1
330,2021-02-08,30,0,1
331,2021-02-09,30,0,1
332,2021-02-10,30,0,1
333,2021-02-11,30,0,1
334,2021-02-12,30,0,1
335,2021-02-13,30,0,1
336,2021-02-14,30,0,1
337,2021-02-15,30,0,1
338,2021-02-16,30,0,1
339,2021-02-17,30,0,1
340,2021-02-18,30,0,1
341,2021-02-19,30,0,1
342,2021-02-20,30,0,1
343,2021-02-21,30,0,1
344,2021-02-22,30,0,0
345,2021-02-23,30,0,0
346,2021-02-24,30,0,0
347,2021-02-25,30,0,0
348,2021-02-26,30,0,0
349,2021-02-27,30,0,0
350,2021-02-28,30,0,0
351,2021-03-01,30,0,0
352,2021-03-02,30,0,0
353,2021-03-03,30,0,0
354,2021-03-04,30,0,0
355,2021-03-05,30,0,0
356,2021-03-06,30,0,0
357,2021-03-07,30,0,0
358,2021-03-08,30,0,0
359,2021-03-09,30,0,0
360,2021-03-10,30,0,0
361,2021-03-11,30,0,0
362,2021-03-12,30,0,0
363,2021-03-13,30,0,0
364,2021-03-14,30,0,0
365,2021-03-15,30,0,0
366,2021-03-16,30,0,0
367,2021-03-17,30,0,0
368,2021-03-18,30,0,0
369,2021-03-19,30,0,0
370,2021-03-20,30,0,0
371,2021-03-21,30,0,0
372,2021-03-22,30,0,0
373,2021-03-23,30,0,0
374,2021-03-24,30,0,0
375,2021-03-25,30,0,0
376,2021-03-26,30,0,0
377,2021-03-27,30,0,1
378,2021-03-28,30,0,1
379,2021-03-29,30,0,1
380,2021-03-30,30,0,1
381,2021-03-31,30,0,1
382,2021-04-01,30,0,1
383,2021-04-02,30,1,1
384,2021-04-03,30,1,1
385,2021-04-04,30,1,1
386,2021-04-05,30,1,1
387,2021-04-06,30,0,1
388,2021-04-07,30,0,1
389,2021-04-08,30,0,1
390,2021-04-09,30,0,1
391,2021-04-10,30,0,1
392,2021-04-11,30,0,1
393,2021-04-12,30,0,0
394,2021-04-13,30,0,0
395,2021-04-14,30,0,0
396,2021-04-15,30,0,0
397,2021-04-16,30,0,0
398,2021-04-17,30,0,0
399,2021-04-18,30,0,0
400,2021-04-19,30,0,0
401,2021-04-20,30,0,0
402,2021-04-21,30,0,0
403,2021-04-22,30,0,0
404,2021-04-23,30,0,0
405,2021-04-24,30,0,0
406,2021-04-25,30,0,0
407,2021-04-26,30,0,0
408,2021-04-27,30,0,0
409,2021-04-28,30,0,0
410,2021-04-29,30,0,0
411,2021-04-30,30,0,0
412,2021-05-01,30,1,0
413,2021-05-02,30,0,0
414,2021-05-03,30,0,0
415,2021-05-04,30,0,0
416,2021-05-05,30,0,0
417,2021-05-06,30,0,0
418,2021-05-07,30,0,0
419,2021-05-08,30,0,0
420,2021-05-09,30,0,0
421,2021-05-10,30,0,0
422,2021-05-11,30,0,0
423,2021-05-12,30,0,0
424,2021-05-13,30,1,0
425,2021-05-14,30,1,0
426,2021-05-15,30,1,0
427,2021-05-16,30,1,0
428,2021-05-17,30,0,0
429,2021-05-18,30,0,0
430,2021-05-19,30,0,0
431,2021-05-20,30,0,0
432,2021-05-21,30,0,0
433,2021-05-22,30,1,1
434,2021-05-23,30,1,1
435,2021-05-24,30,1,1
436,2021-05-25,30,0,1
437,2021-05-26,30,0,0
438,2021-05-27,30,0,0
439,2021-05-28,30,0,0
440,2021-05-29,30,0,0
441,2021-05-30,30,0,0
442,2021-05-31,30,0,0
443,2021-06-01,30,0,0
444,2021-06-02,30,0,0
445,2021-06-03,30,1,0
446,2021-06-04,30,1,0
447,2021-06-05,30,1,0
448,2021-06-06,30,1,0
449,2021-06-07,30,0,0
450,2021-06-08,30,0,0
451,2021-06-09,30,0,0
452,2021-06-10,30,0,0
453,2021-06-11,30,0,0
454,2021-06-12,30,0,0
455,2021-06-13,30,0,0
456,2021-06-14,30,0,0
457,2021-06-15,30,0,0
458,2021-06-16,30,0,0
459,2021-06-17,30,0,0
460,2021-06-18,30,0,0
461,2021-06-19,30,0,0
462,2021-06-20,30,0,0
463,2021-06-21,30,0,0
464,2021-06-22,30,0,0
465,2021-06-23,30,0,0
466,2021-06-24,30,0,0
467,2021-06-25,30,0,0
468,2021-06-26,30,0,0
469,2021-06-27,30,0,0
470,2021-06-28,30,0,0
471,2021-06-29,30,0,0
472,2021-06-30,30,0,0
473,2021-07-01,30,0,0
474,2021-07-02,30,0,0
475,2021-07-03,30,0,1
476,2021-07-04,30,0,1
477,2021-07-05,30,0,1
478,2021-07-06,30,0,1
479,2021-07-07,30,0,1
480,2021-07-08,30,0,1
481,2021-07-09,30,0,1
482,2021-07-10,30,0,1
483,2021-07-11,30,0,1
484,2021-07-12,30,0,1
485,2021-07-13,30,0,1
486,2021-07-14,30,0,1
487,2021-07-15,30,0,1
488,2021-07-16,30,0,1
489,2021-07-17,30,0,1
490,2021-07-18,30,0,1
491,2021-07-19,30,0,1
492,2021-07-20,30,0,1
493,2021-07-21,30,0,1
494,2021-07-22,30,0,1
495,2021-07-23,30,0,1
496,2021-07-24,30,0,1
497,2021-07-25,30,0,1
498,2021-07-26,30,0,1
499,2021-07-27,30,0,1
500,2021-07-28,30,0,1
501,2021-07-29,30,0,1
502,2021-07-30,30,0,1
503,2021-07-31,30,0,1
504,2021-08-01,30,0,1
505,2021-08-02,30,0,1
506,2021-08-03,30,0,1
507,2021-08-04,30,0,1
508,2021-08-05,30,0,1
509,2021-08-06,30,0,1
510,2021-08-07,30,0,1
511,2021-08-08,30,0,1
512,2021-08-09,30,0,1
513,2021-08-10,30,0,1
514,2021-08-11,30,0,1
515,2021-08-12,30,0,1
516,2021-08-13,30,0,1
517,2021-08-14,30,0,1
518,2021-08-15,30,0,1
519,2021-08-16,30,0,1
520,2021-08-17,30,0,1
521,2021-08-18,30,0,0
522,2021-08-19,30,0,0
523,2021-08-20,30,0,0
524,2021-08-21,30,0,0
525,2021-08-22,30,0,0
526,2021-08-23,30,0,0
527,2021-08-24,30,0,0
528,2021-08-25,30,0,0
529,2021-08-26,30,0,0
530,2021-08-27,30,0,0
531,2021-08-28,30,0,0
532,2021-08-29,30,0,0
533,2021-08-30,30,0,0
534,2021-08-31,30,0,0
535,2021-09-01,30,0,0
536,2021-09-02,30,0,0
537,2021-09-03,30,0,0
538,2021-09-04,30,0,0
539,2021-09-05,30,0,0
540,2021-09-06,30,0,0
541,2021-09-07,30,0,0
542,2021-09-08,30,0,0
543,2021-09-09,30,0,0
544,2021-09-10,30,0,0
545,2021-09-11,30,0,0
546,2021-09-12,30,0,0
547,2021-09-13,30,0,0
548,2021-09-14,30,0,0
549,2021-09-15,30,0,0
550,2021-09-16,30,0,0
551,2021-09-17,30,0,0
552,2021-09-18,30,0,0
553,2021-09-19,30,0,0
554,2021-09-20,30,0,0
555,2021-09-21,30,0,0
556,2021-09-22,30,0,0
557,2021-09-23,30,0,0
558,2021-09-24,30,0,0
559,2021-09-25,30,0,0
560,2021-09-26,30,0,0
561,2021-09-27,30,0,0
562,2021-09-28,30,0,0
563,2021-09-29,30,0,0
564,2021-09-30,30,0,0
565,2021-10-01,30,0,0
566,2021-10-02,30,0,0
567,2021-10-03,30,1,0
568,2021-10-04,30,0,0
569,2021-10-05,30,0,0
570,2021-10-06,30,0,0
571,2021-10-07,30,0,0
572,2021-10-08,30,0,0
573,2021-10-09,30,0,1
574,2021-10-10,30,0,1
575,2021-10-11,30,0,1
576,2021-10-12,30,0,1
577,2021-10-13,30,0,1
578,2021-10-14,30,0,1
579,2021-10-15,30,0,1
580,2021-10-16,30,0,1
581,2021-10-17,30,0,1
582,2021-10-18,30,0,1
583,2021-10-19,30,0,1
584,2021-10-20,30,0,1
585,2021-10-21,30,0,1
586,2021-10-22,30,0,1
587,2021-10-23,30,0,1
588,2021-10-24,30,0,1
589,2021-10-25,30,0,0
590,2021-10-26,30,0,0
591,2021-10-27,30,0,0
592,2021-10-28,30,0,0
593,2021-10-29,30,0,0
594,2021-10-30,30,1,0
595,2021-10-31,30,1,0
596,2021-11-01,30,1,0
597,2021-11-02,30,0,0
598,2021-11-03,30,0,0
599,2021-11-04,30,0,0
600,2021-11-05,30,0,0
601,2021-11-06,30,0,0
602,2021-11-07,30,0,0
603,2021-11-08,30,0,0
604,2021-11-09,30,0,0
605,2021-11-10,30,0,0
606,2021-11-11,30,0,0
607,2021-11-12,30,0,0
608,2021-11-13,30,0,0
609,2021-11-14,30,0,0
610,2021-11-15,30,0,0
